map,day,month,year,date,wait_time_s,match_time_s,team_a_rounds,team_b_rounds,ping,kills,assists,deaths,mvps,hs_percent,points,result
Mirage,3.0,8.0,2018.0,3/8/2018,327.0,2906.0,16.0,13.0,215.0,17.0,2.0,21.0,2.0,5.0,45.0,Win
Mirage,2.0,8.0,2018.0,2/8/2018,336.0,2592.0,16.0,11.0,199.0,13.0,4.0,24.0,2.0,0.0,40.0,Lost
Mirage,31.0,7.0,2018.0,31/7/2018,414.0,2731.0,16.0,14.0,85.0,15.0,3.0,18.0,3.0,26.0,37.0,Win
Mirage,31.0,7.0,2018.0,31/7/2018,317.0,2379.0,11.0,16.0,93.0,12.0,2.0,15.0,2.0,16.0,30.0,Lost
Mirage,30.0,7.0,2018.0,30/7/2018,340.0,3467.0,15.0,15.0,94.0,33.0,5.0,20.0,5.0,30.0,83.0,Tie
Mirage,29.0,7.0,2018.0,29/7/2018,391.0,1881.0,16.0,4.0,88.0,13.0,2.0,17.0,1.0,38.0,34.0,Lost
Dust II,28.0,7.0,2018.0,28/7/2018,274.0,3194.0,16.0,14.0,89.0,19.0,5.0,24.0,2.0,15.0,52.0,Lost
Mirage,27.0,7.0,2018.0,27/7/2018,291.0,2859.0,16.0,14.0,82.0,17.0,1.0,25.0,0.0,35.0,37.0,Lost
Mirage,27.0,7.0,2018.0,27/7/2018,184.0,2300.0,16.0,8.0,112.0,25.0,10.0,12.0,4.0,16.0,70.0,Win
Mirage,27.0,7.0,2018.0,27/7/2018,375.0,2184.0,6.0,16.0,89.0,13.0,1.0,17.0,0.0,61.0,31.0,Lost
Dust II,27.0,7.0,2018.0,27/7/2018,208.0,2026.0,5.0,16.0,87.0,17.0,4.0,12.0,3.0,47.0,44.0,Win
Cache,27.0,7.0,2018.0,27/7/2018,157.0,1844.0,6.0,16.0,206.0,15.0,1.0,12.0,3.0,0.0,36.0,Win
Cache,26.0,7.0,2018.0,26/7/2018,426.0,2336.0,16.0,11.0,196.0,8.0,2.0,18.0,0.0,0.0,22.0,Lost
Mirage,26.0,7.0,2018.0,26/7/2018,169.0,2521.0,13.0,16.0,110.0,26.0,6.0,20.0,6.0,14.0,71.0,Lost
Cache,25.0,7.0,2018.0,25/7/2018,277.0,2731.0,12.0,16.0,218.0,13.0,5.0,22.0,1.0,30.0,35.0,Win
Dust II,25.0,7.0,2018.0,25/7/2018,313.0,2574.0,10.0,16.0,82.0,17.0,4.0,19.0,3.0,11.0,43.0,Win
Dust II,24.0,7.0,2018.0,24/7/2018,195.0,1598.0,3.0,16.0,142.0,14.0,4.0,12.0,3.0,21.0,36.0,Win
Mirage,24.0,7.0,2018.0,24/7/2018,372.0,1730.0,4.0,16.0,85.0,15.0,7.0,13.0,3.0,13.0,43.0,Win
Dust II,23.0,7.0,2018.0,23/7/2018,210.0,1500.0,16.0,2.0,632.0,13.0,2.0,8.0,1.0,15.0,30.0,Win
Dust II,23.0,7.0,2018.0,23/7/2018,274.0,2080.0,16.0,7.0,84.0,15.0,3.0,20.0,1.0,26.0,43.0,Lost
Cache,23.0,7.0,2018.0,23/7/2018,443.0,1862.0,5.0,16.0,105.0,16.0,5.0,12.0,3.0,55.0,42.0,Win
Mirage,23.0,7.0,2018.0,23/7/2018,93.0,2443.0,8.0,16.0,88.0,19.0,6.0,15.0,2.0,15.0,45.0,Win
Cache,21.0,7.0,2018.0,21/7/2018,250.0,2843.0,16.0,14.0,98.0,11.0,5.0,21.0,4.0,9.0,44.0,Lost
Mirage,15.0,7.0,2018.0,15/7/2018,131.0,1481.0,16.0,3.0,92.0,22.0,2.0,7.0,5.0,18.0,47.0,Win
Mirage,14.0,7.0,2018.0,14/7/2018,268.0,2491.0,9.0,16.0,87.0,10.0,2.0,22.0,2.0,10.0,26.0,Lost
Mirage,13.0,7.0,2018.0,13/7/2018,319.0,2540.0,16.0,13.0,93.0,21.0,6.0,18.0,3.0,14.0,56.0,Win
Mirage,12.0,7.0,2018.0,12/7/2018,334.0,1605.0,2.0,16.0,90.0,12.0,7.0,11.0,2.0,50.0,35.0,Win
Mirage,12.0,7.0,2018.0,12/7/2018,153.0,2304.0,10.0,16.0,95.0,15.0,6.0,12.0,0.0,6.0,39.0,Win
Mirage,10.0,7.0,2018.0,10/7/2018,529.0,3364.0,15.0,15.0,94.0,25.0,1.0,20.0,2.0,24.0,56.0,Tie
Mirage,9.0,7.0,2018.0,9/7/2018,324.0,2900.0,16.0,13.0,563.0,27.0,5.0,20.0,3.0,18.0,65.0,Win
Mirage,9.0,7.0,2018.0,9/7/2018,442.0,1975.0,6.0,16.0,91.0,13.0,2.0,17.0,0.0,38.0,28.0,Lost
Cache,8.0,7.0,2018.0,8/7/2018,427.0,1999.0,5.0,16.0,0.0,16.0,2.0,10.0,2.0,43.0,41.0,Win
Mirage,7.0,7.0,2018.0,7/7/2018,331.0,2415.0,9.0,16.0,99.0,11.0,1.0,18.0,2.0,9.0,25.0,Lost
Cache,30.0,6.0,2018.0,30/6/2018,521.0,2713.0,16.0,11.0,0.0,12.0,5.0,23.0,3.0,41.0,43.0,Lost
Mirage,30.0,6.0,2018.0,30/6/2018,110.0,1466.0,2.0,16.0,104.0,14.0,3.0,15.0,1.0,42.0,31.0,Lost
Mirage,29.0,6.0,2018.0,29/6/2018,472.0,1477.0,16.0,2.0,89.0,11.0,2.0,10.0,1.0,27.0,24.0,Win
Mirage,29.0,6.0,2018.0,29/6/2018,315.0,2704.0,12.0,16.0,101.0,13.0,3.0,18.0,1.0,7.0,30.0,Lost
Mirage,28.0,6.0,2018.0,28/6/2018,288.0,1669.0,3.0,16.0,92.0,24.0,3.0,6.0,6.0,16.0,64.0,Win
Mirage,28.0,6.0,2018.0,28/6/2018,376.0,2983.0,15.0,15.0,88.0,27.0,3.0,21.0,1.0,29.0,64.0,Tie
Cache,28.0,6.0,2018.0,28/6/2018,503.0,2338.0,13.0,16.0,112.0,23.0,3.0,7.0,6.0,21.0,54.0,Win
Mirage,27.0,6.0,2018.0,27/6/2018,472.0,1435.0,16.0,2.0,93.0,6.0,1.0,14.0,0.0,0.0,15.0,Lost
Mirage,26.0,6.0,2018.0,26/6/2018,261.0,2884.0,16.0,14.0,0.0,6.0,5.0,14.0,1.0,16.0,17.0,Win
Mirage,25.0,6.0,2018.0,25/6/2018,205.0,2623.0,16.0,11.0,173.0,10.0,8.0,13.0,1.0,40.0,32.0,Lost
Mirage,24.0,6.0,2018.0,24/6/2018,154.0,1358.0,16.0,0.0,99.0,12.0,1.0,4.0,3.0,8.0,31.0,Win
Mirage,24.0,6.0,2018.0,24/6/2018,337.0,2366.0,16.0,9.0,100.0,10.0,6.0,19.0,1.0,40.0,26.0,Lost
Mirage,24.0,6.0,2018.0,24/6/2018,390.0,2702.0,13.0,16.0,178.0,23.0,8.0,18.0,3.0,25.0,60.0,Win
Mirage,24.0,6.0,2018.0,24/6/2018,179.0,1951.0,16.0,5.0,94.0,16.0,2.0,9.0,3.0,12.0,36.0,Win
Mirage,22.0,6.0,2018.0,22/6/2018,183.0,1475.0,2.0,14.0,0.0,1.0,1.0,8.0,0.0,100.0,3.0,Lost
Mirage,22.0,6.0,2018.0,22/6/2018,164.0,2026.0,6.0,16.0,90.0,22.0,1.0,10.0,6.0,26.0,55.0,Win
Mirage,21.0,6.0,2018.0,21/6/2018,319.0,2235.0,7.0,16.0,112.0,18.0,5.0,16.0,1.0,27.0,41.0,Win
Mirage,21.0,6.0,2018.0,21/6/2018,411.0,2279.0,16.0,8.0,358.0,17.0,4.0,19.0,2.0,11.0,46.0,Lost
Cache,21.0,6.0,2018.0,21/6/2018,20.0,2819.0,14.0,16.0,198.0,13.0,5.0,16.0,2.0,23.0,36.0,Lost
Mirage,20.0,6.0,2018.0,20/6/2018,400.0,2755.0,11.0,16.0,0.0,15.0,8.0,13.0,4.0,6.0,44.0,Win
Cache,17.0,6.0,2018.0,17/6/2018,399.0,3182.0,15.0,15.0,0.0,12.0,7.0,20.0,2.0,16.0,41.0,Tie
Mirage,17.0,6.0,2018.0,17/6/2018,332.0,1501.0,3.0,16.0,287.0,7.0,4.0,16.0,0.0,0.0,21.0,Lost
Dust II,16.0,6.0,2018.0,16/6/2018,374.0,2728.0,14.0,16.0,104.0,10.0,6.0,20.0,0.0,40.0,27.0,Lost
Dust II,15.0,6.0,2018.0,15/6/2018,370.0,2058.0,6.0,16.0,87.0,19.0,3.0,12.0,5.0,20.0,48.0,Win
Mirage,15.0,6.0,2018.0,15/6/2018,571.0,2815.0,16.0,12.0,92.0,18.0,4.0,19.0,2.0,22.0,48.0,Lost
Cache,14.0,6.0,2018.0,14/6/2018,300.0,2857.0,16.0,14.0,84.0,16.0,4.0,14.0,1.0,6.0,48.0,Win
Mirage,14.0,6.0,2018.0,14/6/2018,375.0,2491.0,9.0,16.0,92.0,9.0,2.0,18.0,0.0,33.0,22.0,Lost
Dust II,14.0,6.0,2018.0,14/6/2018,299.0,1825.0,6.0,16.0,86.0,5.0,5.0,20.0,0.0,40.0,16.0,Lost
Mirage,14.0,6.0,2018.0,14/6/2018,355.0,2396.0,8.0,16.0,133.0,15.0,7.0,22.0,0.0,13.0,39.0,Lost
Cache,13.0,6.0,2018.0,13/6/2018,442.0,2726.0,16.0,13.0,86.0,14.0,11.0,22.0,3.0,7.0,52.0,Win
Mirage,13.0,6.0,2018.0,13/6/2018,225.0,2427.0,10.0,16.0,99.0,25.0,5.0,16.0,4.0,20.0,70.0,Win
Mirage,13.0,6.0,2018.0,13/6/2018,491.0,2065.0,6.0,16.0,158.0,14.0,3.0,14.0,1.0,28.0,31.0,Lost
Mirage,13.0,6.0,2018.0,13/6/2018,305.0,2598.0,9.0,16.0,85.0,28.0,5.0,12.0,7.0,10.0,70.0,Win
Mirage,11.0,6.0,2018.0,11/6/2018,411.0,1914.0,16.0,6.0,106.0,11.0,6.0,17.0,1.0,27.0,33.0,Lost
Mirage,8.0,6.0,2018.0,8/6/2018,360.0,1999.0,16.0,8.0,287.0,10.0,6.0,23.0,0.0,30.0,26.0,Lost
Mirage,7.0,6.0,2018.0,7/6/2018,277.0,1788.0,16.0,5.0,0.0,10.0,5.0,17.0,1.0,30.0,26.0,Lost
